"('Date', '')","('Close', 'NVDA')","('High', 'NVDA')","('Low', 'NVDA')","('Open', 'NVDA')","('Volume', 'NVDA')"
1999-01-22,0.03760489448904991,0.044767204738143176,0.035575022734076006,0.04011151881132772,2714688000
1999-01-25,0.04154452681541443,0.04202127931401817,0.037604889070175215,0.0405891842926367,510480000
1999-01-26,0.038320932537317276,0.04285742748217684,0.037724071506519546,0.042021274880016724,343200000
1999-01-27,0.03820173814892769,0.039395456652290675,0.03629105694895854,0.03844011434456897,244368000
1999-01-28,0.03808162733912468,0.03844010863417428,0.03784325117889491,0.038201732473944504,227520000
1999-01-29,0.03629107028245926,0.03820175218442144,0.03629107028245926,0.03808164698763245,244032000
1999-02-01,0.037008028477430344,0.037246404729959465,0.03629106560972293,0.03629106560972293,154704000
1999-02-02,0.034142911434173584,0.03724639578578374,0.03306838273796726,0.03629105689495783,264096000
1999-02-03,0.03485897183418274,0.035336643166178086,0.03342596125367223,0.03366525630113037,75120000
1999-02-04,0.036768730729818344,0.03772406969032146,0.03485896132503252,0.035336632513021334,181920000
1999-02-05,0.0378432534635067,0.038201734780197956,0.03641115889078831,0.037365582351768144,136848000
1999-02-08,0.036530349403619766,0.03820173910256691,0.036530349403619766,0.03808163394690689,154080000
1999-02-09,0.03509734570980072,0.03748478321066195,0.034619674457074784,0.03724640355020823,86976000
1999-02-10,0.03473977744579315,0.03605268252825522,0.03414291640044597,0.03509734349847007,148224000
1999-02-11,0.03772406280040741,0.03915615734017249,0.0348589549584011,0.0348589549584011,132240000
1999-02-12,0.03987312689423561,0.04011150308442512,0.03820173727523719,0.03820173727523719,109728000
1999-02-16,0.040111515671014786,0.04226057710730336,0.036052687826272814,0.040589186963839535,211008000
1999-02-17,0.037962451577186584,0.03963384160364571,0.03724640406949875,0.03915617034426006,67728000
1999-02-18,0.03855929523706436,0.03963382368649006,0.037484766787638665,0.039156152643043875,70704000
1999-02-19,0.03987312689423561,0.04058917422736143,0.03772406613230088,0.03820173727523719,75360000
1999-02-22,0.040111515671014786,0.041066858256664285,0.03796245423472622,0.040589186963839535,205248000
1999-02-23,0.04202127084136009,0.04285742336315774,0.03867941021102042,0.04106684727380585,138096000
1999-02-24,0.04536405950784683,0.0501398499568341,0.044289530565150025,0.048229168321409145,612768000
1999-02-25,0.04393196851015091,0.04870684404958704,0.04321500216893794,0.04727474547742961,149136000
1999-02-26,0.0419020801782608,0.045841716727673405,0.04154451420510508,0.044409622140986045,172608000
1999-03-01,0.0421413779258728,0.04393195751266321,0.04011150677976465,0.04297661513877809,92160000
